Initial Stack Pointer: 0x20075680
Entry Point (Reset Handler) address: 0x000806D9
Total nodes in CFG: 1909
Analyzing function sub_80c17 at 0x80c17

Analyzing function sub_80c21 at 0x80c21

Analyzing function sub_80ca7 at 0x80ca7

Analyzing function sub_80cb9 at 0x80cb9

Analyzing function sub_80d0f at 0x80d0f

Analyzing function sub_80d21 at 0x80d21

Analyzing function sub_80d57 at 0x80d57

Analyzing function sub_80d61 at 0x80d61

Analyzing function sub_80e89 at 0x80e89

Analyzing function sub_80eb5 at 0x80eb5

Analyzing function sub_80ff3 at 0x80ff3

Analyzing function sub_8102d at 0x8102d

Analyzing function sub_8104f at 0x8104f

Analyzing function sub_81059 at 0x81059

Analyzing function sub_810d3 at 0x810d3

Analyzing function sub_810fd at 0x810fd

Analyzing function sub_8111d at 0x8111d

Analyzing function sub_812e5 at 0x812e5

Analyzing function sub_8133d at 0x8133d

Analyzing function sub_8134d at 0x8134d

Analyzing function sub_81357 at 0x81357

Analyzing function sub_8135d at 0x8135d

Analyzing function sub_81437 at 0x81437

Analyzing function sub_8146d at 0x8146d

Analyzing function sub_8150f at 0x8150f

Analyzing function sub_81549 at 0x81549

Analyzing function sub_81577 at 0x81577

Analyzing function sub_81589 at 0x81589

Analyzing function sub_8161f at 0x8161f

Analyzing function sub_81639 at 0x81639

Analyzing function sub_8165d at 0x8165d

Analyzing function sub_816d9 at 0x816d9

Analyzing function sub_816e7 at 0x816e7

Analyzing function sub_816f1 at 0x816f1

Analyzing function sub_81755 at 0x81755

Analyzing function sub_81761 at 0x81761

Analyzing function sub_8180b at 0x8180b

Analyzing function sub_81821 at 0x81821

Analyzing function sub_818a9 at 0x818a9

Analyzing function sub_8192f at 0x8192f

Analyzing function sub_81941 at 0x81941

Analyzing function sub_81957 at 0x81957

Analyzing function sub_8195d at 0x8195d

Analyzing function sub_819bb at 0x819bb

Analyzing function sub_819dd at 0x819dd

Analyzing function sub_81a3b at 0x81a3b

Analyzing function sub_81a5d at 0x81a5d

Analyzing function sub_81a73 at 0x81a73

Analyzing function sub_81a81 at 0x81a81

Analyzing function sub_81a8f at 0x81a8f

Analyzing function sub_81a99 at 0x81a99

Analyzing function sub_81a9b at 0x81a9b

Analyzing function sub_81a9d at 0x81a9d

Analyzing function sub_81ad1 at 0x81ad1

Analyzing function sub_81b27 at 0x81b27

Analyzing function sub_81b59 at 0x81b59

Analyzing function sub_81b97 at 0x81b97

Analyzing function sub_81ba9 at 0x81ba9

Analyzing function sub_81bd1 at 0x81bd1

Analyzing function sub_81c6f at 0x81c6f

Analyzing function sub_81cbd at 0x81cbd

Analyzing function sub_81d57 at 0x81d57

Analyzing function sub_81d59 at 0x81d59

Analyzing function sub_81db5 at 0x81db5

Analyzing function sub_81e33 at 0x81e33

Analyzing function sub_81e35 at 0x81e35

Analyzing function sub_8286b at 0x8286b

Analyzing function sub_82abd at 0x82abd

Analyzing function sub_82b45 at 0x82b45

Analyzing function sub_82c07 at 0x82c07

Analyzing function sub_82c0d at 0x82c0d

Analyzing function sub_82c2d at 0x82c2d

Analyzing function sub_82d5f at 0x82d5f

Analyzing function sub_82d65 at 0x82d65

Analyzing function sub_82db9 at 0x82db9

Analyzing function sub_82dbf at 0x82dbf

Analyzing function sub_82dc5 at 0x82dc5

Analyzing function sub_82e15 at 0x82e15

Analyzing function sub_82e75 at 0x82e75

Analyzing function sub_82e7b at 0x82e7b

Analyzing function sub_82e81 at 0x82e81

Analyzing function sub_82e87 at 0x82e87

Analyzing function sub_82e8d at 0x82e8d

Analyzing function sub_82eb7 at 0x82eb7

Analyzing function sub_82ec1 at 0x82ec1

Analyzing function sub_82f59 at 0x82f59

Analyzing function sub_82fbf at 0x82fbf

Analyzing function sub_82fc1 at 0x82fc1

Analyzing function sub_83053 at 0x83053

Analyzing function sub_83061 at 0x83061

Analyzing function sub_8322d at 0x8322d

Analyzing function sub_8351b at 0x8351b

Analyzing function sub_83521 at 0x83521

Analyzing function sub_83571 at 0x83571

Analyzing function sub_8358d at 0x8358d

Analyzing function sub_8358f at 0x8358f

Analyzing function sub_83591 at 0x83591

Analyzing function sub_83593 at 0x83593

Analyzing function sub_83595 at 0x83595

Analyzing function sub_83597 at 0x83597

Analyzing function sub_83599 at 0x83599

Analyzing function sub_8359b at 0x8359b

Analyzing function sub_8359d at 0x8359d

Analyzing function sub_835f9 at 0x835f9

Analyzing function sub_8368d at 0x8368d

Analyzing function sub_83bcb at 0x83bcb

Analyzing function sub_83bd1 at 0x83bd1

Analyzing function sub_83bfb at 0x83bfb

Analyzing function sub_83bfd at 0x83bfd

Analyzing function sub_83c89 at 0x83c89

Analyzing function sub_83d4f at 0x83d4f

Analyzing function sub_83d51 at 0x83d51

Analyzing function sub_83d57 at 0x83d57

Analyzing function sub_83d5d at 0x83d5d

Analyzing function sub_83d63 at 0x83d63

Analyzing function sub_83d69 at 0x83d69

Analyzing function sub_840d3 at 0x840d3

Analyzing function sub_840d5 at 0x840d5

Analyzing function sub_840f9 at 0x840f9

Analyzing function sub_8411b at 0x8411b

Analyzing function sub_8411d at 0x8411d

Analyzing function sub_84159 at 0x84159

Analyzing function sub_84179 at 0x84179

Analyzing function sub_84181 at 0x84181

Analyzing function sub_8422f at 0x8422f

Analyzing function sub_84231 at 0x84231

Analyzing function sub_8427b at 0x8427b

Analyzing function sub_84285 at 0x84285

Analyzing function sub_842c3 at 0x842c3

Analyzing function sub_842c9 at 0x842c9

Analyzing function sub_8437f at 0x8437f

Analyzing function sub_843b1 at 0x843b1

Analyzing function sub_84473 at 0x84473

Analyzing function sub_84475 at 0x84475

Analyzing function sub_8449d at 0x8449d

Analyzing function sub_844c1 at 0x844c1

Analyzing function sub_844e7 at 0x844e7

Analyzing function sub_844ed at 0x844ed

Analyzing function sub_84513 at 0x84513

Analyzing function sub_84519 at 0x84519

Analyzing function sub_84549 at 0x84549

Analyzing function sub_84827 at 0x84827

Analyzing function sub_848ad at 0x848ad

Analyzing function sub_849e1 at 0x849e1

Analyzing function sub_849ed at 0x849ed

Analyzing function sub_84a00 at 0x84a00

Analyzing function sub_84a10 at 0x84a10

Analyzing function sub_84a25 at 0x84a25

Analyzing function sub_84a93 at 0x84a93

Analyzing function sub_84ab1 at 0x84ab1

Analyzing function sub_84b39 at 0x84b39

Analyzing function sub_84bfd at 0x84bfd

Analyzing function sub_84bff at 0x84bff

Analyzing function sub_85099 at 0x85099

Analyzing function sub_851b1 at 0x851b1

Analyzing function sub_851d4 at 0x851d4

Analyzing function sub_851f4 at 0x851f4

Analyzing function sub_85214 at 0x85214

Analyzing function sub_852d2 at 0x852d2

Analyzing function sub_85314 at 0x85314

Analyzing function sub_853d2 at 0x853d2

Analyzing function sub_85414 at 0x85414

Analyzing function sub_854eb at 0x854eb

Analyzing function UnresolvableJumpTarget at 0x100014

Analyzing function UnresolvableCallTarget at 0x100018

Definitions and uses not included in the CFG or without control flow path:
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80039 id=0x80019[73] contextless> (instruction address: 0x80039)
  Use at <0x8003d id=0x80019[82] contextless> (instruction address: 0x8003d)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80081 id=0x80019[235] contextless> (instruction address: 0x80081)
  Use at <0x80075 id=0x80019[208] contextless> (instruction address: 0x80075)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80019 id=0x80019[2] contextless> (instruction address: 0x80019)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80019 id=0x80019[5] contextless> (instruction address: 0x80019)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x800f5 id=0x800df[69] contextless> (instruction address: 0x800f5)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80101 id=0x80101[1] contextless> (instruction address: 0x80101)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x8001b id=0x80019[11] contextless> (instruction address: 0x8001b)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80095 id=0x80019[280] contextless> (instruction address: 0x80095)
  Use at <0x80089 id=0x80019[253] contextless> (instruction address: 0x80089)
  Use at <0x800e5 id=0x800df[19] contextless> (instruction address: 0x800e5)
  Use at <0x8009d id=0x80019[298] contextless> (instruction address: 0x8009d)
  Use at <0x80091 id=0x80019[271] contextless> (instruction address: 0x80091)
  Use at <0x80061 id=0x80019[163] contextless> (instruction address: 0x80061)
  Use at <0x8002d id=0x80019[47] contextless> (instruction address: 0x8002d)
  Use at <0x80041 id=0x80019[91] contextless> (instruction address: 0x80041)
  Use at <0x80099 id=0x80019[289] contextless> (instruction address: 0x80099)
  Use at <0x80051 id=0x80019[127] contextless> (instruction address: 0x80051)
  Use at <0x800ad id=0x80019[334] contextless> (instruction address: 0x800ad)
  Use at <0x800b1 id=0x80019[343] contextless> (instruction address: 0x800b1)
  Use at <0x800d9 id=0x80019[433] contextless> (instruction address: 0x800d9)
  Use at <0x800c5 id=0x80019[388] contextless> (instruction address: 0x800c5)
  Use at <0x80055 id=0x80019[136] contextless> (instruction address: 0x80055)
  Use at <0x800e9 id=0x800df[28] contextless> (instruction address: 0x800e9)
  Use at <0x80069 id=0x80019[181] contextless> (instruction address: 0x80069)
  Use at <0x80059 id=0x80019[145] contextless> (instruction address: 0x80059)
  Use at <0x800ed id=0x800df[37] contextless> (instruction address: 0x800ed)
  Use at <0x800dd id=0x80019[443] contextless> (instruction address: 0x800dd)
  Use at <0x80065 id=0x80019[172] contextless> (instruction address: 0x80065)
  Use at <0x80031 id=0x80019[56] contextless> (instruction address: 0x80031)
  Use at <0x8008d id=0x80019[262] contextless> (instruction address: 0x8008d)
  Use at <0x8006d id=0x80019[190] contextless> (instruction address: 0x8006d)
  Use at <0x800f1 id=0x800df[46] contextless> (instruction address: 0x800f1)
  Use at <0x800a5 id=0x80019[316] contextless> (instruction address: 0x800a5)
  Use at <0x800cd id=0x80019[406] contextless> (instruction address: 0x800cd)
  Use at <0x800a9 id=0x80019[325] contextless> (instruction address: 0x800a9)
  Use at <0x80079 id=0x80019[217] contextless> (instruction address: 0x80079)
  Use at <0x800a1 id=0x80019[307] contextless> (instruction address: 0x800a1)
  Use at <0x800b9 id=0x80019[361] contextless> (instruction address: 0x800b9)
  Use at <0x80019 id=0x80019[1] contextless> (instruction address: 0x80019)
  Use at <0x800b5 id=0x80019[352] contextless> (instruction address: 0x800b5)
  Use at <0x80049 id=0x80019[109] contextless> (instruction address: 0x80049)
  Use at <0x800c1 id=0x80019[379] contextless> (instruction address: 0x800c1)
  Use at <0x800bd id=0x80019[370] contextless> (instruction address: 0x800bd)
  Use at <0x800d1 id=0x80019[415] contextless> (instruction address: 0x800d1)
  Use at <0x80045 id=0x80019[100] contextless> (instruction address: 0x80045)
  Use at <0x800c9 id=0x80019[397] contextless> (instruction address: 0x800c9)
  Use at <0x800d5 id=0x80019[424] contextless> (instruction address: 0x800d5)
  Use at <0x8005d id=0x80019[154] contextless> (instruction address: 0x8005d)
  Use at <0x80085 id=0x80019[244] contextless> (instruction address: 0x80085)
  Use at <0x800e1 id=0x800df[10] contextless> (instruction address: 0x800e1)
  Use at <0x8004d id=0x80019[118] contextless> (instruction address: 0x8004d)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80019 id=0x80019[3] contextless> (instruction address: 0x80019)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80019 id=0x80019[4] contextless> (instruction address: 0x80019)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x800f5 id=0x800df[66] contextless> (instruction address: 0x800f5)
  Use at <0x8007d id=0x80019[226] contextless> (instruction address: 0x8007d)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x800fd id=0x800fd[1] contextless> (instruction address: 0x800fd)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x800f7 id=0x800df[73] contextless> (instruction address: 0x800f7)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80121 id=0x8011d[17] contextless> (instruction address: 0x80121)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80135 id=0x80135[3] contextless> (instruction address: 0x80135)
  Use at <0x8011f id=0x8011d[13] contextless> (instruction address: 0x8011f)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x8011d id=0x8011d[1] contextless> (instruction address: 0x8011d)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80127 id=0x8011d[23] contextless> (instruction address: 0x80127)
  Use at <0x8012f id=0x8012f[1] contextless> (instruction address: 0x8012f)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x8011f id=0x8011d[10] contextless> (instruction address: 0x8011f)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80143 id=0x80143[1] contextless> (instruction address: 0x80143)
  Use at <0x80137 id=0x80137[1] contextless> (instruction address: 0x80137)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80119 id=0x80119[1] contextless> (instruction address: 0x80119)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80129 id=0x8011d[28] contextless> (instruction address: 0x80129)
  Use at <0x80131 id=0x8012f[6] contextless> (instruction address: 0x80131)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80165 id=0x80161[17] contextless> (instruction address: 0x80165)
  Use at <0x80197 id=0x80195[5] contextless> (instruction address: 0x80197)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80171 id=0x80171[1] contextless> (instruction address: 0x80171)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80169 id=0x80169[1] contextless> (instruction address: 0x80169)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80169 id=0x80169[2] contextless> (instruction address: 0x80169)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x8016d id=0x80169[17] contextless> (instruction address: 0x8016d)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80183 id=0x8017d[15] contextless> (instruction address: 0x80183)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80169 id=0x80169[4] contextless> (instruction address: 0x80169)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x8018d id=0x8018b[14] contextless> (instruction address: 0x8018d)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x8017f id=0x8017d[5] contextless> (instruction address: 0x8017f)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80161 id=0x80161[9] contextless> (instruction address: 0x80161)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80179 id=0x80179[1] contextless> (instruction address: 0x80179)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80169 id=0x80169[3] contextless> (instruction address: 0x80169)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80161 id=0x80161[6] contextless> (instruction address: 0x80161)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80191 id=0x80191[1] contextless> (instruction address: 0x80191)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x8017d id=0x8017d[1] contextless> (instruction address: 0x8017d)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80195 id=0x80195[1] contextless> (instruction address: 0x80195)
  Use at <0x80163 id=0x80161[13] contextless> (instruction address: 0x80163)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x801c5 id=0x801c5[9] contextless> (instruction address: 0x801c5)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x801f3 id=0x801f3[1] contextless> (instruction address: 0x801f3)
  Use at <0x801c9 id=0x801c5[27] contextless> (instruction address: 0x801c9)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x801c5 id=0x801c5[15] contextless> (instruction address: 0x801c5)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x801c5 id=0x801c5[18] contextless> (instruction address: 0x801c5)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x801c5 id=0x801c5[6] contextless> (instruction address: 0x801c5)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x801d3 id=0x801d3[1] contextless> (instruction address: 0x801d3)
  Use at <0x801cb id=0x801cb[1] contextless> (instruction address: 0x801cb)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x801c5 id=0x801c5[12] contextless> (instruction address: 0x801c5)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x801c5 id=0x801c5[21] contextless> (instruction address: 0x801c5)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x801d3 id=0x801d3[2] contextless> (instruction address: 0x801d3)
  Use at <0x801cd id=0x801cb[5] contextless> (instruction address: 0x801cd)
  Use at <0x801df id=0x801d9[-2] contextless> (instruction address: 0x801df)
  Use at <0x801cf id=0x801cb[9] contextless> (instruction address: 0x801cf)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x801d5 id=0x801d3[11] contextless> (instruction address: 0x801d5)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x801d7 id=0x801d3[15] contextless> (instruction address: 0x801d7)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80201 id=0x80201[1] contextless> (instruction address: 0x80201)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80207 id=0x80207[15] contextless> (instruction address: 0x80207)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80207 id=0x80207[18] contextless> (instruction address: 0x80207)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x8020b id=0x80207[25] contextless> (instruction address: 0x8020b)
  Use at <0x80211 id=0x80211[1] contextless> (instruction address: 0x80211)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80207 id=0x80207[12] contextless> (instruction address: 0x80207)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x8020f id=0x80207[35] contextless> (instruction address: 0x8020f)
  Use at <0x80223 id=0x80219[-2] contextless> (instruction address: 0x80223)
  Use at <0x80239 id=0x80239[1] contextless> (instruction address: 0x80239)
  Use at <0x8020d id=0x80207[29] contextless> (instruction address: 0x8020d)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80213 id=0x80211[5] contextless> (instruction address: 0x80213)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80217 id=0x80211[9] contextless> (instruction address: 0x80217)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80207 id=0x80207[9] contextless> (instruction address: 0x80207)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80207 id=0x80207[6] contextless> (instruction address: 0x80207)
  Use at <0x80237 id=0x80233[6] contextless> (instruction address: 0x80237)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80207 id=0x80207[21] contextless> (instruction address: 0x80207)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x802a3 id=0x802a3[1] contextless> (instruction address: 0x802a3)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x802b3 id=0x802a9[11] contextless> (instruction address: 0x802b3)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x8027b id=0x80275[17] contextless> (instruction address: 0x8027b)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x8025b id=0x80251[26] contextless> (instruction address: 0x8025b)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x8025b id=0x80251[27] contextless> (instruction address: 0x8025b)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x8025b id=0x80251[29] contextless> (instruction address: 0x8025b)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x802b1 id=0x802a9[7] contextless> (instruction address: 0x802b1)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x8025d id=0x80251[39] contextless> (instruction address: 0x8025d)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80251 id=0x80251[9] contextless> (instruction address: 0x80251)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x8025b id=0x80251[28] contextless> (instruction address: 0x8025b)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80257 id=0x80251[16] contextless> (instruction address: 0x80257)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80251 id=0x80251[6] contextless> (instruction address: 0x80251)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80281 id=0x8027f[14] contextless> (instruction address: 0x80281)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x8029d id=0x8029d[1] contextless> (instruction address: 0x8029d)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x802db id=0x802d9[9] contextless> (instruction address: 0x802db)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x802d9 id=0x802d9[3] contextless> (instruction address: 0x802d9)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x802d9 id=0x802d9[1] contextless> (instruction address: 0x802d9)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x802df id=0x802dd[9] contextless> (instruction address: 0x802df)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x802dd id=0x802dd[3] contextless> (instruction address: 0x802dd)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x802dd id=0x802dd[1] contextless> (instruction address: 0x802dd)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x802e1 id=0x802e1[1] contextless> (instruction address: 0x802e1)
  Use at <0x802f3 id=0x802f3[1] contextless> (instruction address: 0x802f3)
  Use at <0x80317 id=0x80317[1] contextless> (instruction address: 0x80317)
  Use at <0x802f5 id=0x802f3[7] contextless> (instruction address: 0x802f5)
  Use at <0x8031b id=0x80317[23] contextless> (instruction address: 0x8031b)
  Use at <0x802fd id=0x802f3[36] contextless> (instruction address: 0x802fd)
  Use at <0x802ff id=0x802ff[1] contextless> (instruction address: 0x802ff)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80301 id=0x80301[3] contextless> (instruction address: 0x80301)
  Use at <0x80315 id=0x80315[3] contextless> (instruction address: 0x80315)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x80309 id=0x80309[1] contextless> (instruction address: 0x80309)
  Use at <0x802eb id=0x802eb[3] contextless> (instruction address: 0x802eb)
  Use at <0x80303 id=0x80303[1] contextless> (instruction address: 0x80303)
  Use at <0x802e3 id=0x802e1[7] contextless> (instruction address: 0x802e3)
  Use at <0x8030f id=0x8030f[1] contextless> (instruction address: 0x8030f)
  Use at <0x802ed id=0x802ed[1] contextless> (instruction address: 0x802ed)
Definition at [External []] (instruction address: Unknown) - Reason: Def block not in CFG
  Use at <0x802f9 id=0x802f3[30] contextless> (instruction address: 0x802f9)
  Use at <0x802e1 id=0x802e1[3] contextless> (instruction address: 0x802e1)
  Use at <0x80319 id=0x80317[13] contextless> (instruction address: 0x80319)
